timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695280991957,558,POST Create,201,Created,Thread Group 1-1,text,true,,715,232,6,6,https://reqres.in/api/users,558,0,154
1695280992516,50,Get List Users,200,OK,Thread Group 1-1,text,true,,1718,127,6,6,https://reqres.in/api/users?page=1,50,0,0
1695280992058,518,POST Create,201,Created,Thread Group 1-2,text,true,,715,232,7,7,https://reqres.in/api/users,518,0,85
1695280992577,59,Get List Users,200,OK,Thread Group 1-2,text,true,,1708,127,7,7,https://reqres.in/api/users?page=1,59,0,0
1695280992566,71,Get Single User,200,OK,Thread Group 1-1,text,true,,998,122,7,7,https://reqres.in/api/users/2,71,0,0
1695280992167,492,POST Create,201,Created,Thread Group 1-3,text,true,,717,232,7,7,https://reqres.in/api/users,492,0,83
1695280992637,47,Get Single User,200,OK,Thread Group 1-2,text,true,,1000,122,7,7,https://reqres.in/api/users/2,47,0,0
1695280992659,48,Get List Users,200,OK,Thread Group 1-3,text,true,,1726,127,6,6,https://reqres.in/api/users?page=1,48,0,0
1695280992708,49,Get Single User,200,OK,Thread Group 1-3,text,true,,1004,122,6,6,https://reqres.in/api/users/2,49,0,0
1695280992260,517,POST Create,201,Created,Thread Group 1-4,text,true,,709,232,6,6,https://reqres.in/api/users,517,0,90
1695280992778,48,Get List Users,200,OK,Thread Group 1-4,text,true,,1712,127,6,6,https://reqres.in/api/users?page=1,48,0,0
1695280992368,496,POST Create,201,Created,Thread Group 1-5,text,true,,711,232,7,7,https://reqres.in/api/users,496,0,102
1695280992826,49,Get Single User,200,OK,Thread Group 1-4,text,true,,1004,122,7,7,https://reqres.in/api/users/2,49,0,0
1695280992461,506,POST Create,201,Created,Thread Group 1-6,text,true,,711,232,7,7,https://reqres.in/api/users,506,0,80
1695280992864,124,Get List Users,200,OK,Thread Group 1-5,text,true,,1712,127,7,7,https://reqres.in/api/users?page=1,124,0,0
1695280992967,47,Get List Users,200,OK,Thread Group 1-6,text,true,,1714,127,7,7,https://reqres.in/api/users?page=1,47,0,0
1695280992989,55,Get Single User,200,OK,Thread Group 1-5,text,true,,994,122,7,7,https://reqres.in/api/users/2,55,0,0
1695280993014,45,Get Single User,200,OK,Thread Group 1-6,text,true,,1000,122,7,7,https://reqres.in/api/users/2,45,0,0
1695280992570,499,POST Create,201,Created,Thread Group 1-7,text,true,,712,232,6,6,https://reqres.in/api/users,498,0,99
1695280993069,41,Get List Users,200,OK,Thread Group 1-7,text,true,,1710,127,6,6,https://reqres.in/api/users?page=1,41,0,0
1695280992658,484,POST Create,201,Created,Thread Group 1-8,text,true,,712,232,6,6,https://reqres.in/api/users,484,0,85
1695280993110,47,Get Single User,200,OK,Thread Group 1-7,text,true,,1000,122,6,6,https://reqres.in/api/users/2,47,0,0
1695280993142,53,Get List Users,200,OK,Thread Group 1-8,text,true,,1716,127,6,6,https://reqres.in/api/users?page=1,53,0,0
1695280993196,87,Get Single User,200,OK,Thread Group 1-8,text,true,,1002,122,7,7,https://reqres.in/api/users/2,87,0,0
1695280992758,527,POST Create,201,Created,Thread Group 1-9,text,true,,706,232,6,6,https://reqres.in/api/users,527,0,85
1695280993286,48,Get List Users,200,OK,Thread Group 1-9,text,true,,1720,127,6,6,https://reqres.in/api/users?page=1,47,0,0
1695280993334,49,Get Single User,200,OK,Thread Group 1-9,text,true,,998,122,7,7,https://reqres.in/api/users/2,49,0,0
1695280992858,546,POST Create,201,Created,Thread Group 1-10,text,true,,716,232,6,6,https://reqres.in/api/users,546,0,151
1695280992959,475,POST Create,201,Created,Thread Group 1-11,text,true,,711,232,6,6,https://reqres.in/api/users,475,0,80
1695280993404,52,Get List Users,200,OK,Thread Group 1-10,text,true,,1718,127,6,6,https://reqres.in/api/users?page=1,51,0,0
1695280993434,48,Get List Users,200,OK,Thread Group 1-11,text,true,,1716,127,7,7,https://reqres.in/api/users?page=1,48,0,0
1695280993456,48,Get Single User,200,OK,Thread Group 1-10,text,true,,1000,122,7,7,https://reqres.in/api/users/2,48,0,0
1695280993483,46,Get Single User,200,OK,Thread Group 1-11,text,true,,1006,122,6,6,https://reqres.in/api/users/2,46,0,0
1695280993057,485,POST Create,201,Created,Thread Group 1-12,text,true,,709,232,5,5,https://reqres.in/api/users,485,0,82
1695280993542,64,Get List Users,200,OK,Thread Group 1-12,text,true,,1716,127,6,6,https://reqres.in/api/users?page=1,64,0,0
1695280993607,44,Get Single User,200,OK,Thread Group 1-12,text,true,,1002,122,6,6,https://reqres.in/api/users/2,44,0,0
1695280993159,496,POST Create,201,Created,Thread Group 1-13,text,true,,711,232,5,5,https://reqres.in/api/users,496,0,93
